index,d__Bacteria;p__Firmicutes,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Bacteroidota,d__Bacteria;p__WPS-2,d__Bacteria;p__Actinobacteriota,d__Archaea;p__Halobacterota,d__Bacteria;p__Fusobacteriota,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Synergistota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Verrucomicrobiota
human-18105021,45028.0,2193.0,15565.0,0.0,3004.0,0.0,2327.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
human-18105022,46635.0,2158.0,14600.0,0.0,10493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,564.0
human-18105023,42995.0,4713.0,15385.0,0.0,5767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1795.0
human-18105024,39042.0,336.0,28269.0,0.0,123.0,0.0,27.0,0.0,0.0,23.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0
human-18105025,47061.0,10414.0,21816.0,0.0,6293.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
pig-SRR27430951,24686.0,182.0,11557.0,25.0,309.0,0.0,0.0,111.0,0.0,12.0,0.0,38.0,33.0,49.0,28.0,0.0,0.0
pig-SRR27430952,36637.0,571.0,13349.0,0.0,433.0,51.0,0.0,100.0,0.0,76.0,0.0,15.0,34.0,20.0,12.0,0.0,0.0
pig-SRR27430953,35176.0,320.0,10006.0,124.0,486.0,0.0,0.0,196.0,0.0,349.0,0.0,0.0,15.0,4.0,65.0,0.0,96.0
pig-SRR27430954,14688.0,667.0,9354.0,16.0,316.0,0.0,0.0,75.0,33.0,83.0,2.0,0.0,0.0,20.0,11.0,0.0,3.0
pig-SRR27430955,26203.0,319.0,11080.0,0.0,287.0,0.0,0.0,49.0,16.0,44.0,0.0,65.0,13.0,28.0,15.0,0.0,0.0
