index,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__WPS-2;c__WPS-2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Firmicutes;c__Negativicutes,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Firmicutes;__,d__Archaea;p__Halobacterota;c__Methanomicrobia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Archaea;p__Euryarchaeota;c__Methanobacteria,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Spirochaetota;c__Spirochaetia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Synergistota;c__Synergistia,d__Bacteria;p__Proteobacteria;__,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Bacteria;p__Firmicutes;c__Incertae_Sedis
human-18105021,38933.0,2193.0,15565.0,0.0,144.0,4939.0,0.0,0.0,0.0,1156.0,2327.0,2860.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human-18105022,40897.0,968.0,14600.0,0.0,2002.0,5293.0,1190.0,12.0,0.0,433.0,0.0,8491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,559.0,0.0
human-18105023,31936.0,4713.0,15385.0,0.0,327.0,841.0,0.0,0.0,0.0,10198.0,0.0,5440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1795.0,20.0
human-18105024,33849.0,336.0,28269.0,0.0,70.0,2526.0,0.0,0.0,0.0,2667.0,27.0,53.0,0.0,0.0,23.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human-18105025,41448.0,10393.0,21816.0,0.0,1234.0,3115.0,0.0,0.0,0.0,2498.0,67.0,5059.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,18.0,0.0
pig-SRR27430951,24179.0,176.0,11557.0,25.0,294.0,7.0,6.0,0.0,0.0,500.0,0.0,15.0,111.0,0.0,12.0,0.0,38.0,33.0,0.0,49.0,28.0,0.0,0.0,0.0,0.0
pig-SRR27430952,36090.0,541.0,13349.0,0.0,425.0,9.0,22.0,2.0,51.0,536.0,0.0,8.0,100.0,0.0,76.0,0.0,15.0,34.0,8.0,20.0,12.0,0.0,0.0,0.0,0.0
pig-SRR27430953,33902.0,259.0,10006.0,124.0,371.0,13.0,61.0,30.0,0.0,1231.0,0.0,115.0,196.0,0.0,349.0,0.0,0.0,15.0,0.0,4.0,65.0,0.0,92.0,4.0,0.0
pig-SRR27430954,14338.0,667.0,9354.0,16.0,116.0,17.0,0.0,61.0,0.0,272.0,0.0,200.0,75.0,33.0,83.0,2.0,0.0,0.0,0.0,20.0,11.0,0.0,3.0,0.0,0.0
pig-SRR27430955,25663.0,309.0,11080.0,0.0,287.0,0.0,10.0,6.0,0.0,534.0,0.0,0.0,49.0,16.0,44.0,0.0,65.0,13.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0
