index,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;__,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Proteobacteria;__;__,d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales
human-18105021,13583.0,1531.0,0.0,22845.0,15565.0,0.0,0.0,144.0,2807.0,0.0,29.0,0.0,1295.0,0.0,109.0,952.0,0.0,6.0,2132.0,1047.0,662.0,2327.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2825.0,23.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human-18105022,22124.0,0.0,0.0,16606.0,14583.0,0.0,0.0,2002.0,2548.0,1190.0,276.0,12.0,1613.0,0.0,95.0,80.0,0.0,52.0,2745.0,338.0,968.0,0.0,0.0,26.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8491.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,37.0,0.0,45.0,0.0,5.0,559.0,0.0,0.0,0.0,0.0
human-18105023,20531.0,2055.0,0.0,9960.0,15385.0,0.0,2120.0,327.0,824.0,0.0,1106.0,0.0,217.0,0.0,9136.0,0.0,0.0,71.0,17.0,1062.0,527.0,0.0,11.0,7.0,11.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5409.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,1795.0,20.0,0.0,0.0,0.0
human-18105024,20081.0,133.0,0.0,8033.0,28269.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,2848.0,0.0,194.0,2846.0,22.0,0.0,2526.0,2451.0,0.0,27.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,23.0,0.0,0.0,53.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human-18105025,19049.0,8214.0,0.0,22007.0,21816.0,0.0,0.0,1234.0,3027.0,0.0,6.0,0.0,210.0,0.0,1774.0,0.0,0.0,0.0,88.0,724.0,1785.0,67.0,0.0,0.0,41.0,172.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,4999.0,19.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
pig-SRR27430951,8210.0,0.0,274.0,7606.0,11501.0,25.0,0.0,294.0,0.0,0.0,408.0,0.0,2051.0,0.0,24.0,5292.0,0.0,268.0,7.0,476.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,6.0,111.0,0.0,12.0,0.0,38.0,15.0,0.0,33.0,56.0,176.0,0.0,0.0,49.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig-SRR27430952,7100.0,0.0,233.0,8412.0,13210.0,0.0,0.0,425.0,0.0,0.0,410.0,2.0,8811.0,51.0,53.0,10945.0,0.0,92.0,9.0,483.0,0.0,0.0,4.0,6.0,0.0,71.0,0.0,22.0,100.0,0.0,76.0,0.0,15.0,8.0,0.0,34.0,139.0,541.0,0.0,8.0,20.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig-SRR27430953,11663.0,22.0,135.0,16110.0,9941.0,124.0,0.0,371.0,5.0,18.0,1237.0,30.0,1351.0,0.0,0.0,2566.0,0.0,283.0,8.0,1231.0,0.0,0.0,3.0,400.0,0.0,76.0,0.0,43.0,196.0,0.0,349.0,0.0,0.0,115.0,0.0,15.0,65.0,237.0,0.0,0.0,4.0,78.0,65.0,0.0,0.0,41.0,0.0,0.0,4.0,51.0,0.0
pig-SRR27430954,2476.0,14.0,132.0,9404.0,9312.0,16.0,0.0,116.0,0.0,0.0,101.0,61.0,784.0,0.0,8.0,1316.0,0.0,101.0,17.0,261.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,75.0,33.0,83.0,2.0,0.0,200.0,0.0,0.0,42.0,653.0,0.0,0.0,20.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
pig-SRR27430955,10112.0,0.0,293.0,8739.0,11022.0,0.0,0.0,287.0,0.0,4.0,167.0,6.0,2843.0,0.0,0.0,3293.0,0.0,87.0,0.0,534.0,0.0,0.0,5.0,11.0,0.0,104.0,0.0,6.0,49.0,16.0,44.0,0.0,65.0,0.0,0.0,13.0,58.0,309.0,0.0,0.0,28.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
